system   D            wsystem.c:583  maybe_parent_dir                 [   0.00021] Also searching F:\University\C++\Level5\Space-Invaders\
display  D   display_settings.c:191  debug_display_settings           [   0.19011] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19012] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19013] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19014] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19014] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19014] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19015] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19015] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19015] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19016] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19016] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19017] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19017] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19017] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19018] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19018] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19018] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19019] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19019] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19020] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19020] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19020] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19021] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19021] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19021] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19022] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19022] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19023] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19023] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19023] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19024] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19024] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19024] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19025] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19025] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
